iter	Logloss
0	0.692385996
1	0.6918245053
2	0.691067166
3	0.6903179651
4	0.6895592113
5	0.6890014758
6	0.6882530643
7	0.687692921
8	0.6869461189
9	0.6863886813
10	0.6858296593
11	0.6850834042
12	0.6845289071
13	0.6837841421
14	0.6832271318
15	0.6826807335
16	0.6821242347
17	0.681568214
18	0.6810246979
19	0.6804707547
20	0.6797273221
21	0.6791815621
22	0.6784413382
23	0.6778983449
24	0.6773450921
25	0.6766141554
26	0.6760617246
27	0.675521935
28	0.6747917781
29	0.6742423077
30	0.6737021605
31	0.6729704017
32	0.672431012
33	0.6718852123
34	0.6711590985
35	0.6706176996
36	0.6700782279
37	0.6695391585
38	0.6690003847
39	0.6684620157
40	0.6679257701
41	0.6672025323
42	0.6666672577
43	0.6659456889
44	0.6654096742
45	0.664873672
46	0.6643486097
47	0.6638136605
48	0.6632788181
49	0.6627458582
50	0.6622204632
51	0.6616849949
52	0.6611531923
53	0.6604417463
54	0.6599126806
55	0.6593803912
56	0.6586695015
57	0.6579646568
58	0.6572556595
59	0.6567239563
60	0.6562028428
61	0.6554979483
62	0.6547922244
63	0.654262349
64	0.653558284
65	0.6530378958
66	0.6523372581
67	0.6518179178
68	0.6513008227
69	0.6507734408
70	0.6502569318
71	0.6495633026
72	0.6488616864
73	0.6481594692
74	0.6476433674
75	0.647127683
76	0.6466140151
77	0.6460990508
78	0.6455860138
79	0.6448949724
80	0.644204696
81	0.6436951856
82	0.6430029472
83	0.6423172007
84	0.6418057283
85	0.6412944247
86	0.6407925139
87	0.640278101
88	0.6395941625
89	0.6390828689
90	0.6384089738
91	0.6377204955
92	0.6372161359
93	0.6367136091
94	0.6360291739
95	0.6355311076
96	0.6350247959
97	0.634351184
98	0.633668234
99	0.6329966684
100	0.6324978769
101	0.6318243444
102	0.6313210626
103	0.6308250725
104	0.6301522354
105	0.6294838786
106	0.6289859414
107	0.6283175151
108	0.6278223097
109	0.627330939
110	0.626836429
111	0.626167198
112	0.6255006691
113	0.6250096262
114	0.6245168249
115	0.6240247389
116	0.6235345006
117	0.6230449279
118	0.6223840515
119	0.6218970815
120	0.6212379436
121	0.6207482119
122	0.6202605764
123	0.619773378
124	0.6192918122
125	0.6186398566
126	0.6179762383
127	0.6174978415
128	0.616844813
129	0.6163588067
130	0.6158798138
131	0.6157161891
132	0.6152396699
133	0.6147547662
134	0.6142772784
135	0.6136269818
136	0.6129756272
137	0.6124996692
138	0.6120241483
139	0.6115418871
140	0.6110651294
141	0.6104208479
142	0.6099433253
143	0.6094696472
144	0.6088311225
145	0.608186538
146	0.6075447649
147	0.6069074819
148	0.6064347277
149	0.6059642235
150	0.6054939975
151	0.6050223907
152	0.6045527955
153	0.6040818095
154	0.6034456392
155	0.6029825707
156	0.6025111328
157	0.602045397
158	0.6015763531
159	0.6011076619
160	0.6004807452
161	0.5998512407
162	0.5993840893
163	0.5989243686
164	0.5984579225
165	0.5979934533
166	0.5975349098
167	0.596904104
168	0.5964463403
169	0.5959835698
170	0.5953603238
171	0.5949002057
172	0.5942802777
173	0.593821163
174	0.5932010263
175	0.5925800006
176	0.5919618954
177	0.5913429757
178	0.5908883164
179	0.5904322912
180	0.5899782976
181	0.5895265639
182	0.5890716215
183	0.5884565214
184	0.5880077581
185	0.5875557959
186	0.5870971282
187	0.5866475999
188	0.5861984193
189	0.58605057
190	0.5854398608
191	0.5848337015
192	0.5842231909
193	0.5836171259
194	0.5831708908
195	0.5827213824
196	0.5821175774
197	0.5816760461
198	0.5810703139
199	0.5806245307
200	0.5801825424
201	0.5797355175
202	0.5791377227
203	0.5786918501
204	0.5780955752
205	0.5776522557
206	0.5770560106
207	0.5766170919
208	0.576020509
209	0.5755807658
210	0.5751413008
211	0.5745468835
212	0.5739516517
213	0.5735137165
214	0.5729235907
215	0.5724902153
216	0.5720517834
217	0.5714638929
218	0.5710263153
219	0.5704381267
220	0.5700067878
221	0.5694200993
222	0.5688309669
223	0.5684028665
224	0.5679699083
225	0.5675391455
226	0.566954265
227	0.5665242771
228	0.5659428835
229	0.5655176143
230	0.5650905569
231	0.5649492244
232	0.5645194153
233	0.5639391541
234	0.563363423
235	0.5629369219
236	0.5623609722
237	0.5619351168
238	0.5615081191
239	0.5610865057
240	0.5606635213
241	0.560239176
242	0.559816728
243	0.5593966941
244	0.5589714646
245	0.5585554242
246	0.5579820971
247	0.5574096739
248	0.5569951932
249	0.5565721889
250	0.556000183
251	0.5555868944
252	0.5551720758
253	0.5547506313
254	0.5543365379
255	0.5537713567
256	0.5533547004
257	0.5527909199
258	0.5523752272
259	0.551959753
260	0.5515480141
261	0.5511367619
262	0.5505762895
263	0.5500114063
264	0.5496033231
265	0.5491921107
266	0.5486329297
267	0.5480745335
268	0.5475191375
269	0.5469662646
270	0.5465557079
271	0.5460028251
272	0.5455949605
273	0.5450397631
274	0.5446381172
275	0.5442315638
276	0.5438235402
277	0.5434158941
278	0.5430139005
279	0.542464306
280	0.5419156651
281	0.5415114959
282	0.5411094725
283	0.5405646165
284	0.5400154094
285	0.5396148364
286	0.5392127832
287	0.5386690795
288	0.538269788
289	0.5378742119
290	0.5373326341
291	0.5369327466
292	0.536394467
293	0.5358499289
294	0.5354566375
295	0.5350585381
296	0.5346606672
297	0.5342666507
298	0.5338748097
299	0.5334814688
300	0.5330813626
301	0.53268677
302	0.5321548382
303	0.5317630172
304	0.5312271913
305	0.5308360954
306	0.530445685
307	0.5300552448
308	0.5296635528
309	0.5291325251
310	0.5287434558
311	0.5283510784
312	0.527966251
313	0.5274379849
314	0.5270467401
315	0.5266594887
316	0.5262759427
317	0.5257483919
318	0.525362283
319	0.5249748131
320	0.5244510273
321	0.5240661403
322	0.5236833394
323	0.523156325
324	0.5226372083
325	0.5221155783
326	0.5217329164
327	0.5212162336
328	0.5206916432
329	0.5203137894
330	0.519936343
331	0.5194173257
332	0.5190372765
333	0.518521448
334	0.5181439221
335	0.5177632272
336	0.5173847079
337	0.5168731908
338	0.5164935489
339	0.5161196788
340	0.5157443285
341	0.5152301093
342	0.5147201121
343	0.5143462519
344	0.5139742692
345	0.5135992368
346	0.5130918125
347	0.5125800371
348	0.5120761395
349	0.5117047528
350	0.5112004777
351	0.5108283361
352	0.5104579429
353	0.5099521776
354	0.5094508231
355	0.5090802213
356	0.5085784495
357	0.5080725253
358	0.5077083806
359	0.5073412756
360	0.5068389078
361	0.5063391825
362	0.5058420897
363	0.5054768026
364	0.5051118433
365	0.5046165784
366	0.504252553
367	0.5038886567
368	0.5037665764
369	0.5034084618
370	0.5030402144
371	0.5025501053
372	0.5020574431
373	0.5015638173
374	0.5010674795
375	0.5007084707
376	0.5002189974
377	0.4998591542
378	0.4995031456
379	0.499013712
380	0.4986514648
381	0.4982966483
382	0.4978091419
383	0.4973207017
384	0.4969653487
385	0.4964784086
386	0.4959957997
387	0.4956401189
388	0.4952845573
389	0.4949294925
390	0.4945747157
391	0.4940898021
392	0.4937393169
393	0.4933856229
394	0.4929078817
395	0.4925531844
396	0.4920750856
397	0.4915958941
398	0.4912445148
399	0.4908914467
400	0.4905457894
401	0.4901934167
402	0.4897154868
403	0.4892383715
404	0.48876218
405	0.4884186089
406	0.4880701999
