iter	Passed	Remaining
0	0	748
1	0	494
2	1	385
3	1	374
4	1	358
5	2	332
6	2	328
7	2	308
8	2	293
9	2	280
10	3	279
11	3	276
12	3	268
13	3	261
14	3	255
15	4	253
16	4	251
17	4	246
18	4	247
19	5	251
20	5	248
21	5	251
22	6	256
23	6	252
24	6	250
25	6	246
26	6	243
27	6	240
28	7	237
29	7	236
30	7	233
31	7	233
32	8	234
33	8	232
34	8	230
35	8	231
36	8	229
37	8	227
38	9	225
39	9	224
40	9	223
41	9	221
42	9	219
43	9	216
44	10	215
45	10	216
46	10	217
47	10	215
48	11	214
49	11	212
50	11	210
51	11	212
52	11	211
53	11	209
54	12	208
55	12	207
56	12	205
57	12	204
58	12	203
59	13	204
60	13	203
61	13	202
62	13	201
63	13	200
64	13	199
65	14	199
66	14	198
67	14	198
68	14	198
69	14	197
70	15	196
71	15	195
72	15	194
73	15	193
74	15	192
75	15	192
76	16	192
77	16	191
78	16	190
79	16	190
80	16	189
81	16	188
82	17	188
83	17	188
84	17	188
85	17	188
86	17	188
87	18	188
88	18	187
89	18	186
90	18	185
91	18	186
92	19	185
93	19	186
94	19	185
95	19	186
96	19	186
97	20	185
98	20	184
99	20	183
100	20	183
101	20	182
102	20	182
103	21	181
104	21	180
105	21	179
106	21	178
107	21	178
108	21	178
109	22	178
110	22	178
111	22	178
112	22	178
113	23	179
114	23	178
115	23	178
116	23	177
117	23	176
118	23	176
119	23	175
120	24	175
121	24	174
122	24	174
123	24	174
124	24	174
125	25	173
126	25	173
127	25	172
128	25	171
129	25	170
130	25	170
131	25	169
132	26	170
133	26	170
134	26	171
135	26	171
136	27	170
137	27	170
138	27	169
139	27	168
140	27	168
141	27	167
142	27	166
143	27	165
144	28	165
145	28	164
146	28	163
147	28	163
148	28	163
149	28	162
150	28	162
151	28	161
152	29	160
153	29	161
154	29	161
155	29	160
156	29	159
157	29	159
158	30	159
159	30	159
160	30	158
161	30	158
162	30	158
163	31	158
164	31	158
165	31	157
166	31	157
167	31	157
168	31	157
169	32	156
170	32	156
171	32	156
172	32	156
173	32	156
174	33	155
175	33	155
176	33	154
177	33	154
178	33	154
179	33	153
180	33	153
181	34	153
182	34	153
183	34	153
184	34	153
185	34	152
186	35	152
187	35	152
188	35	152
189	35	152
190	36	152
191	36	152
192	36	151
193	36	151
194	36	150
195	36	150
196	36	150
197	37	150
198	37	150
199	37	150
200	37	151
201	38	150
202	38	150
203	38	149
204	38	149
205	38	149
206	38	149
207	39	148
208	39	148
209	39	149
210	39	149
211	40	148
212	40	148
213	40	148
214	40	147
215	40	147
216	40	146
217	40	146
218	40	145
219	40	145
220	41	145
221	41	144
222	41	144
223	41	144
224	41	144
225	42	144
226	42	143
227	42	143
228	42	143
229	42	142
230	42	142
231	43	142
232	43	142
233	43	141
234	43	141
235	43	141
236	43	140
237	43	140
238	44	140
239	44	140
240	44	139
241	44	139
242	44	139
243	45	139
244	45	139
245	45	138
246	45	138
247	45	137
248	45	137
249	45	137
250	45	137
251	46	136
252	46	136
253	46	136
254	46	136
255	47	136
256	47	136
257	47	136
258	47	135
259	47	135
260	47	135
261	47	135
262	48	134
263	48	134
264	48	134
265	48	134
266	48	133
267	48	133
268	48	132
269	49	132
270	49	132
271	49	131
272	49	131
273	49	131
274	49	130
275	49	130
276	49	130
277	49	129
278	50	129
279	50	129
280	50	128
281	50	128
282	50	128
283	50	127
284	50	127
285	50	127
286	51	126
287	51	126
288	51	126
289	51	125
290	51	125
291	51	125
292	51	124
293	51	124
294	51	124
295	52	123
296	52	123
297	52	123
298	52	122
299	52	122
300	52	122
301	52	122
302	53	121
303	53	121
304	53	122
305	53	121
306	53	121
307	54	121
308	54	121
309	54	121
310	54	121
311	54	120
312	54	120
313	55	120
314	55	120
315	55	119
316	55	119
317	55	119
318	55	119
319	55	118
320	56	118
321	56	118
322	56	118
323	56	117
324	56	117
325	56	117
326	56	117
327	56	116
328	57	116
329	57	116
330	57	115
331	57	115
332	57	115
333	57	115
334	57	114
335	57	114
336	58	114
337	58	113
338	58	113
339	58	113
340	58	113
341	59	113
342	59	113
343	59	113
344	59	113
345	59	112
346	59	112
347	60	112
348	60	112
349	60	111
350	60	111
351	60	111
352	60	111
353	60	110
354	60	110
355	60	110
